,dt,AverageTemperature
176252,1821-01-01,-3.565
176253,1821-02-01,-0.156
176254,1821-03-01,5.699
176255,1821-04-01,12.661
176256,1821-05-01,19.914
176257,1821-06-01,23.273
176258,1821-07-01,25.027
176259,1821-08-01,24.371
176260,1821-09-01,18.141
176261,1821-10-01,11.86
176262,1821-11-01,4.147
176263,1821-12-01,-3.297
176264,1822-01-01,-4.994
176265,1822-02-01,-0.414
176266,1822-03-01,8.148
176267,1822-04-01,13.397
176268,1822-05-01,19.311
176269,1822-06-01,24.089
176270,1822-07-01,26.285
176271,1822-08-01,24.257
176272,1822-09-01,18.856
176273,1822-10-01,11.412
176274,1822-11-01,2.704
176275,1822-12-01,-5.024
176276,1823-01-01,-5.724
176277,1823-02-01,-2.742
176278,1823-03-01,4.863
176279,1823-04-01,12.417
176280,1823-05-01,19.174
176281,1823-06-01,25.024
176282,1823-07-01,26.313
176283,1823-08-01,24.035
176284,1823-09-01,18.217
176285,1823-10-01,10.809
176286,1823-11-01,3.065
176287,1823-12-01,-3.915
176288,1824-01-01,-4.634
176289,1824-02-01,-1.671
176290,1824-03-01,5.348
176291,1824-04-01,13.384
176292,1824-05-01,20.036
176293,1824-06-01,24.51
176294,1824-07-01,26.718
176295,1824-08-01,24.457
176296,1824-09-01,19.528
176297,1824-10-01,11.846
176298,1824-11-01,4.417
176299,1824-12-01,-0.362
176300,1825-01-01,-3.564
176301,1825-02-01,-1.85
176302,1825-03-01,5.065
176303,1825-04-01,13.753
176304,1825-05-01,19.904
176305,1825-06-01,25.188
176306,1825-07-01,25.629
176307,1825-08-01,24.026
176308,1825-09-01,19.145
176309,1825-10-01,11.627
176310,1825-11-01,5.038
176311,1825-12-01,-3.143
176312,1826-01-01,-5.351
176313,1826-02-01,-3.54
176314,1826-03-01,4.774
176315,1826-04-01,13.197
176316,1826-05-01,20.627
176317,1826-06-01,24.633
176318,1826-07-01,26.522
176319,1826-08-01,24.022
176320,1826-09-01,19.164
176321,1826-10-01,12.135
176322,1826-11-01,4.825
176323,1826-12-01,-1.181
176324,1827-01-01,-3.4
176325,1827-02-01,-0.634
176326,1827-03-01,6.523
176327,1827-04-01,13.993
176328,1827-05-01,20.612
176329,1827-06-01,25.117
176330,1827-07-01,26.916
176331,1827-08-01,24.646
176332,1827-09-01,19.103
176333,1827-10-01,12.158
176334,1827-11-01,4.761
176335,1827-12-01,-3.348
176336,1828-01-01,-7.075
176337,1828-02-01,-3.104
176338,1828-03-01,5.658
176339,1828-04-01,13.089
176340,1828-05-01,19.577
176341,1828-06-01,24.923
176342,1828-07-01,26.813
176343,1828-08-01,24.658
176344,1828-09-01,18.34
176345,1828-10-01,12.374
176346,1828-11-01,4.368
176347,1828-12-01,-2.53
176348,1829-01-01,-5.044
176349,1829-02-01,-3.04
176350,1829-03-01,4.952
176351,1829-04-01,12.251
176352,1829-05-01,19.745
176353,1829-06-01,23.851
176354,1829-07-01,26.445
